iter	Passed	Remaining
455	946	1128
456	947	1126
457	949	1123
458	951	1121
459	953	1119
460	955	1116
461	957	1114
462	958	1112
463	960	1109
464	961	1106
465	963	1104
466	965	1102
467	967	1099
468	968	1097
469	970	1094
470	971	1091
471	973	1089
472	975	1086
473	976	1083
474	978	1081
475	980	1079
476	981	1076
477	983	1074
478	988	1075
479	990	1073
480	992	1070
481	993	1068
482	997	1067
483	999	1065
484	1001	1063
485	1003	1060
486	1004	1058
487	1006	1056
488	1010	1055
489	1011	1053
490	1013	1050
491	1014	1047
492	1017	1046
493	1019	1044
494	1020	1041
495	1022	1038
496	1025	1038
497	1027	1036
498	1029	1033
499	1030	1030
500	1032	1028
501	1034	1026
502	1036	1023
503	1037	1021
504	1040	1020
505	1054	1029
506	1057	1028
507	1058	1025
508	1060	1022
509	1062	1020
510	1064	1018
511	1065	1015
512	1067	1013
513	1068	1010
514	1070	1007
515	1071	1005
516	1073	1002
517	1074	999
518	1076	997
519	1080	997
520	1082	995
521	1084	992
522	1086	991
523	1088	988
524	1089	985
525	1091	983
526	1092	980
527	1094	978
528	1096	976
529	1097	973
530	1099	971
531	1101	968
532	1102	966
533	1104	963
534	1105	960
535	1106	958
536	1108	955
537	1110	953
538	1111	950
539	1113	948
540	1115	946
541	1117	944
542	1119	942
543	1121	940
544	1123	938
545	1126	936
546	1127	934
547	1129	931
548	1132	930
549	1135	929
550	1137	926
551	1140	925
552	1143	924
553	1145	922
554	1147	920
555	1149	917
556	1150	915
557	1152	912
558	1153	910
559	1155	908
560	1158	906
561	1159	903
562	1161	901
563	1162	899
564	1164	896
565	1165	893
566	1166	891
567	1168	888
568	1170	886
569	1173	885
570	1174	882
571	1176	880
572	1178	877
573	1179	875
574	1180	872
575	1182	870
576	1184	868
577	1185	865
578	1187	863
579	1188	860
580	1190	858
581	1192	856
582	1194	854
583	1196	851
584	1197	849
585	1199	847
586	1201	845
587	1202	842
588	1204	840
589	1205	837
590	1207	835
591	1208	832
592	1210	830
593	1211	828
594	1212	825
595	1214	823
596	1216	820
597	1217	818
598	1219	816
599	1220	813
600	1223	812
601	1224	809
602	1225	807
603	1227	804
604	1228	801
605	1231	800
606	1232	798
607	1233	795
608	1235	793
609	1236	790
610	1238	788
611	1240	786
612	1241	783
613	1243	781
614	1245	779
615	1247	777
616	1249	775
617	1250	772
618	1251	770
619	1253	768
620	1255	766
621	1256	763
622	1258	761
623	1260	759
624	1262	757
625	1263	755
626	1265	752
627	1266	750
628	1269	748
629	1271	746
630	1273	744
631	1276	743
632	1278	741
633	1280	739
634	1281	736
635	1283	734
636	1285	732
637	1286	729
638	1287	727
639	1289	725
640	1291	723
641	1292	720
642	1294	718
643	1295	716
644	1297	714
645	1299	712
646	1301	709
647	1302	707
648	1303	705
649	1305	703
650	1307	701
651	1309	698
652	1310	696
653	1312	694
654	1314	692
655	1315	689
656	1316	687
657	1318	685
658	1320	683
659	1321	680
660	1323	678
661	1324	676
662	1325	673
663	1327	671
664	1329	669
665	1330	667
666	1332	665
667	1333	662
668	1335	660
669	1336	658
670	1338	656
671	1339	653
672	1340	651
673	1342	649
674	1344	647
675	1345	644
676	1347	642
677	1348	640
678	1349	638
679	1351	635
680	1352	633
681	1354	631
682	1355	629
683	1357	627
684	1358	624
685	1360	622
686	1361	620
687	1363	618
688	1364	615
689	1367	614
690	1368	611
691	1369	609
692	1371	607
693	1374	606
694	1376	603
695	1377	601
696	1378	599
697	1381	597
698	1382	595
699	1384	593
700	1385	591
701	1387	589
702	1389	586
703	1390	584
704	1392	582
705	1394	580
706	1396	578
707	1397	576
708	1399	574
709	1401	572
710	1404	570
711	1405	568
712	1407	566
713	1408	564
714	1411	562
715	1412	560
716	1414	558
717	1415	556
718	1418	554
719	1420	552
720	1422	550
721	1423	548
722	1426	546
723	1428	544
724	1430	542
725	1431	540
726	1434	538
727	1436	536
728	1438	534
729	1439	532
730	1441	530
731	1443	528
732	1444	526
733	1446	524
734	1447	522
735	1451	520
736	1453	518
737	1454	516
738	1457	514
739	1459	512
740	1460	510
741	1462	508
742	1465	506
743	1467	504
744	1468	502
745	1470	500
746	1473	499
747	1475	497
748	1477	495
749	1479	493
750	1482	491
751	1484	489
752	1487	487
753	1488	485
754	1490	483
755	1495	482
756	1497	480
757	1499	478
758	1503	477
759	1505	475
760	1506	473
761	1508	471
762	1510	469
763	1512	467
764	1514	465
765	1515	463
766	1517	460
767	1518	458
768	1520	456
769	1521	454
770	1522	452
771	1525	450
772	1526	448
773	1528	446
774	1529	444
775	1531	442
776	1533	440
777	1534	437
778	1536	435
779	1537	433
780	1539	431
781	1541	429
782	1543	427
783	1544	425
784	1546	423
785	1549	421
786	1553	420
787	1556	418
788	1559	416
789	1561	415
790	1566	413
791	1570	412
792	1571	410
793	1573	408
794	1574	406
795	1578	404
796	1579	402
797	1581	400
798	1582	398
799	1584	396
800	1585	394
801	1587	391
802	1588	389
803	1593	388
804	1594	386
805	1596	384
806	1599	382
807	1601	380
808	1602	378
809	1603	376
810	1605	374
811	1607	372
812	1609	370
813	1610	368
814	1612	365
815	1613	363
816	1615	361
817	1616	359
818	1618	357
819	1621	356
820	1624	354
821	1625	352
822	1626	349
823	1628	347
824	1630	345
825	1631	343
826	1632	341
827	1635	339
828	1637	337
829	1638	335
830	1640	333
831	1641	331
832	1644	329
833	1645	327
834	1647	325
835	1648	323
836	1651	321
837	1653	319
838	1654	317
839	1656	315
840	1660	313
841	1662	311
842	1664	309
843	1666	307
844	1667	305
845	1669	303
846	1670	301
847	1672	299
848	1673	297
849	1675	295
850	1677	293
851	1678	291
852	1680	289
853	1681	287
854	1683	285
855	1685	283
856	1687	281
857	1689	279
858	1690	277
859	1692	275
860	1694	273
861	1696	271
862	1698	269
863	1700	267
864	1703	265
865	1705	263
866	1707	261
867	1708	259
868	1711	257
869	1713	255
870	1714	253
871	1716	251
872	1718	249
873	1719	247
874	1721	245
875	1722	243
876	1724	241
877	1726	239
878	1728	237
879	1729	235
880	1731	233
881	1733	231
882	1735	229
883	1736	227
884	1738	225
885	1740	223
886	1742	221
887	1743	219
888	1745	217
889	1746	215
890	1748	213
891	1750	211
892	1752	209
893	1753	207
894	1756	206
895	1757	204
896	1759	202
897	1760	200
898	1762	198
899	1764	196
900	1765	194
901	1767	192
902	1769	190
903	1772	188
904	1773	186
905	1775	184
906	1777	182
907	1779	180
908	1780	178
909	1782	176
910	1783	174
911	1786	172
912	1788	170
913	1789	168
914	1791	166
915	1792	164
916	1794	162
917	1795	160
918	1797	158
919	1798	156
920	1801	154
921	1802	152
922	1803	150
923	1805	148
924	1806	146
925	1808	144
926	1810	142
927	1812	140
928	1813	138
929	1815	136
930	1817	134
931	1818	132
932	1819	130
933	1821	128
934	1823	126
935	1824	124
936	1825	122
937	1827	120
938	1829	118
939	1831	116
940	1836	115
941	1841	113
942	1843	111
943	1845	109
944	1848	107
945	1849	105
946	1850	103
947	1852	101
948	1856	99
949	1858	97
950	1859	95
951	1862	93
952	1864	91
953	1865	89
954	1867	87
955	1869	86
956	1871	84
957	1872	82
958	1874	80
959	1875	78
960	1877	76
961	1879	74
962	1880	72
963	1882	70
964	1884	68
965	1885	66
966	1886	64
967	1888	62
968	1889	60
969	1891	58
970	1893	56
971	1894	54
972	1895	52
973	1897	50
974	1899	48
975	1901	46
976	1903	44
977	1904	42
978	1906	40
979	1908	38
980	1909	36
981	1910	35
982	1913	33
983	1915	31
984	1917	29
985	1918	27
986	1920	25
987	1921	23
988	1923	21
989	1924	19
990	1926	17
991	1927	15
992	1928	13
993	1930	11
994	1932	9
995	1933	7
996	1935	5
997	1937	3
998	1938	1
999	1940	0
